Portuguese,English
que,what
não,no
o,the
de,of
a,the
é,and
você,you
e,and
eu,I
um,one
para,to
está,this
uma,one
se,if
com,with
por,put
ele,he
isso,that
em,in
do,of
me,me
mas,but
como,as
bem,good
da,from the
no,node
os,you
ela,she
na,in
sim,Yes
aqui,here
mais,more
tem,he has
meu,my
seu,your
muito,very
foi,he was
as,to the
vai,go
sua,your
estou,I am
vamos,let's go
tudo,all
minha,my
só,only
então,then
pode,he can
agora,now
vou,I go
ser,to be
quando,when
fazer,to do
sei,I know
eles,they
nós,us
tenho,I have
te,you
estava,he was
certo,right
quer,he wants
sabe,he knows
já,already
era,was
nos,us
quem,who
ou,or
ao,to the
nada,nothing
disse,he said
há,there is
lá,there
onde,where
quero,I want
bom,good
ter,to have
sou,am
são,they are
dizer,to say
posso,can I
acho,I think
sobre,on
mim,me
porque,why
mesmo,same
coisa,thing
todos,all
estão,they are
algo,something
até,until
tempo,time
assim,like this
nunca,never
vocês,you
esse,that
casa,home
quê,what
essa,that
à,the
ver,see
também,also
pra,for
ainda,yet
tão,so
dos,of the
cara,face
favor,please
ir,go
melhor,better
noite,night
sem,without
temos,we have
obrigado,thanks
dia,day
talvez,perhaps
pai,father
estamos,we are
esta,this
Deus,God
alguém,somebody
mãe,mother
vida,life
senhor,sir
este,this
isto,this
sempre,always
anos,years
vez,time
verdade,true
seus,your
dele,from him
ficar,to stay
parece,it seems
oh,oh
claro,Of course
depois,after
tinha,he had
falar,to speak
coisas,things
antes,before
pessoas,people
pouco,little
pelo,for the
preciso,necessary
apenas,just
homem,man
deve,he must
nem,nor
boa,good
dois,two
fazendo,doing
todo,all
lugar,place
faz,he does
acha,he thinks
fez,he did
aí,there
fora,outside
estar,be
qual,which
disso,from that
trabalho,work
precisa,it needs
das,of
hoje,today
ninguém,nobody
novo,new
queria,I wanted
ei,Hey
comigo,with me
mundo,world
saber,to know
alguma,some
dar,give
podemos,we can
grande,big
sinto,I feel
seja,it is
nossa,our
poderia,it could
dinheiro,money
suas,your
será,it will be
nome,name
quanto,as
qualquer,any
pela,for the
outro,other
vá,go
lhe,him
dela,her
nosso,our
oi,hey
meus,my
desculpe,sorry
filho,son
